DokumentType,Titel,Ressort,AdministrerendeMyndighed,JournalNummer,Nummer,År,DokumentId,ACCN,Publiceringsmedie,UndtagetFraOffentliggørelse,GeografiskDækning,UnderskriftDato,PubliceretTidspunkt,SidstPubliceretTidspunkt,BekendtgørelsesDato,HistoriskDato,Historisk,RedaktionelNote,OmtryksNote,AlternativeMedierNote,AnfoerINote,HjemmelVedroerer,SenereAendringer,ÆndrerI,Tiltræder,EliUrl
Lov,Lov om engangstilskud til husstande med lav indkomst og varmekilder omfattet af ekstraordinære prisstigninger i fyringssæsonen 2021-2022,"Klima-, Energi- og Forsyningsministeriet",Energistyrelsen,"Klima-, Energi- og Forsyningsmin.,\nEnergistyrelsen, j.nr. 2022-12002",445,2022,DB000491,A20220044530,Lovtidende A,,Fremgår af forskriften,20220412,20220412,20220412,20220412,,False,,,,,,,,,https://www.retsinformation.dk/eli/lta/2022/445
Lov,Lov om infrastruktur for alternative drivmidler til transport,Transportministeriet,,"Transportmin., j.nr. 2021-722",412,2022,DG000381,A20220041230,Lovtidende A,,Fremgår af forskriften,20220404,20220405,20220405,20220405,,False,,,,,,,,,https://www.retsinformation.dk/eli/lta/2022/412
Lov,Lov om restriktioner på transaktioner med kontanter og værdipapirer i danske kroner til Rusland og Belarus,Erhvervsministeriet,,"Erhvervsmin., \nFinanstilsynet, j.nr. 22-004618",409,2022,CQ002157,A20220040930,Lovtidende A,,Fremgår af forskriften,20220331,20220331,20220331,20220331,,False,,,,,,,,,https://www.retsinformation.dk/eli/lta/2022/409
Lov,Lov om boligforhold,Indenrigs- og Boligministeriet,,"Indenrigs- og Boligmin., j.nr. 2021-2262",342,2022,DE000220,A20220034230,Lovtidende A,,Fremgår af forskriften,20220322,20220323,20220330,20220323,,False,,,,,,,,,https://www.retsinformation.dk/eli/lta/2022/342
Lov,Lov om leje,Indenrigs- og Boligministeriet,,"Indenrigs- og Boligmin., j.nr. 2021-2261",341,2022,DE000219,A20220034130,Lovtidende A,,Fremgår af forskriften,20220322,20220323,20220330,20220323,,False,,,,,,,,,https://www.retsinformation.dk/eli/lta/2022/341
Lov,"Lov om midlertidig opholdstilladelse til personer, der er fordrevet fra Ukraine",Udlændinge- og Integrationsministeriet,,"Udlændinge- og Integrationsmin., j.nr. 2022-3807",324,2022,CS001238,A20220032430,Lovtidende A,,Fremgår af forskriften,20220316,20220317,20220317,20220317,,False,,,,,,,,,https://www.retsinformation.dk/eli/lta/2022/324
Lov,Lov om indfødsrets meddelelse,Udlændinge- og Integrationsministeriet,,"Udlændinge- og Integrationsmin., j.nr. 2021-2325",2585,2021,CS001180,A20210258530,Lovtidende A,,Fremgår af forskriften,20211228,20211229,20211229,20211229,,False,,,,,,,,,https://www.retsinformation.dk/eli/lta/2021/2585
Lov,"Lov om Hav-, Fiskeri- og Akvakulturfonden","Ministeriet for Fødevarer, Landbrug og Fiskeri",Fiskeristyrelsen,"Ministeriet for Fødevarer, Landbrug og Fiskeri, j.nr. 2021-1999",2584,2021,DC000470,A20210258430,Lovtidende A,,Fremgår af forskriften,20211228,20211229,20211229,20211229,,False,,,,,,,,,https://www.retsinformation.dk/eli/lta/2021/2584
Lov,"Lov om fastsættelse af udgiftslofter for stat, kommuner og regioner for finansåret 2025",Finansministeriet,,"Finansmin., j.nr. 2021-5590",2583,2021,AE002953,A20210258330,Lovtidende A,,Fremgår af forskriften,20211228,20211229,20211229,20211229,,False,,,,,,,,,https://www.retsinformation.dk/eli/lta/2021/2583
Lov,"Lov for Grønland om identifikation af aktionærer, videregivelse af oplysninger og lettelse af udøvelsen af aktionærrettigheder",Erhvervsministeriet,,"Erhvervsmin., \nErhvervsstyrelsen, j.nr. 2021-10348",2582,2021,CQ002023,A20210258230,Lovtidende A,,Kun Grønland,20211228,20211229,20211229,20211229,,False,,,,,,,,,https://www.retsinformation.dk/eli/lta/2021/2582
